,entity_type,name,aliases
0,Person,Xi Jinping,"['President Xi', 'Chairman Xi', 'General Secretary Xi', 'Xi', 'Chinese President', ""China's Leader"", 'Core Leader', 'Mr. Xi', 'Communist Party Leader', 'China’s Paramount Leader']"
1,Person,Li Qiang,"['Premier Li', 'Prime Minister Li', 'Li', 'Chinese Premier', 'Premier of the State Council', 'Mr. Li', 'China’s Premier', 'State Council Chief', 'China’s No. 2 Leader', 'Beijing’s Premier']"
2,Person,Zhao Leji,"['Chairman Zhao', 'Zhao', 'NPC Chairman', 'Mr. Zhao', 'China’s Legislative Leader', 'Standing Committee Head', 'Top Legislator', 'Beijing’s NPC Chief', 'Zhao of the NPC', 'China’s Parliamentary Leader']"
3,Person,Wang Yi,"['Foreign Minister Wang', 'Minister Wang', 'China’s Top Diplomat', 'State Councilor Wang', 'Mr. Wang', 'Wang', 'China’s Foreign Policy Chief', 'Beijing’s Diplomat', 'China’s Senior Diplomat', 'Foreign Affairs Minister']"
4,Person,He Lifeng,"['Vice Premier He', 'He', 'Mr. He', 'China’s Vice Premier', 'Economic Planner', 'Beijing’s Economic Chief', 'He of the State Council', 'China’s Development Chief', 'Vice Premier for Economy', 'NDRC Head']"
5,Company,Alibaba Group,"['Alibaba', 'BABA', 'Chinese E-commerce Giant', 'The Alibaba Group', 'Jack Ma’s Company', 'Chinese Tech Giant', 'Hangzhou Tech Firm', 'Ali Group', 'China’s Online Retail Leader', 'Taobao’s Parent Company']"
6,Company,Tencent Holdings,"['Tencent', 'Chinese Social Media Giant', 'WeChat Parent Company', 'Pony Ma’s Company', 'China’s Tech Conglomerate', 'Chinese Gaming Giant', 'Tencent Group', 'Shenzhen Tech Firm', 'China’s Internet Leader', 'QQ’s Parent Company']"
7,Company,China National Petroleum Corporation,"['CNPC', 'PetroChina Parent', 'China’s Oil Giant', 'National Oil Company', 'Beijing’s Energy Firm', 'China’s Petroleum Leader', 'CNPC Group', 'Chinese Energy Conglomerate', 'State Oil Company', 'China’s Fossil Fuel Leader']"
8,Company,Huawei Technologies,"['Huawei', 'Chinese Telecom Giant', 'Ren Zhengfei’s Company', 'Chinese Smartphone Maker', 'Huawei Tech', 'China’s Tech Firm', 'Shenzhen Tech Giant', '5G Leader', 'Chinese Network Provider', 'Huawei Group']"
9,Company,China State Construction Engineering Corporation,"['CSCEC', 'China State Construction', 'Beijing Construction Giant', 'Chinese Building Leader', 'State Construction Firm', 'China’s Infrastructure Leader', 'CSCEC Group', 'National Construction Company', 'China’s Building Titan', 'State-Owned Builder']"
10,Location,Beijing,"['Chinese Capital', 'China’s Capital City', 'Capital of the PRC', 'Northern Capital', 'The Imperial City', 'Peking', 'Dragon Capital', 'China’s Political Hub', 'Beijing Municipality', 'The Forbidden City’s Home']"
11,Location,Shanghai,"['China’s Financial Hub', 'Chinese Financial Center', 'Pearl of the Orient', 'China’s Largest City', 'Paris of the East', 'The Bund City', 'Shanghai Metropolis', 'China’s Economic Powerhouse', 'Eastern Metropolis', 'Yangtze Delta Hub']"
12,Location,Hong Kong,"['Hong Kong SAR', 'HKSAR', 'HK', 'Pearl of the Orient', 'Asia’s World City', 'Chinese Special Administrative Region', 'Hong Kong City', 'China’s Global Hub', 'Fragrant Harbor', 'Southern Trade Hub']"
13,Location,Xinjiang Uygur Autonomous Region,"['Xinjiang', 'Uygur Region', 'Western China Region', 'China’s Northwest Frontier', 'Silk Road Region', 'Xinjiang Region', 'Uighur Autonomous Area', 'China’s Western Territory', 'New Frontier', 'Central Asia Gateway']"
14,Location,Tibet Autonomous Region,"['Tibet', 'Xizang', 'Roof of the World', 'Tibetan Plateau', 'China’s Southwestern Region', 'Lhasa Region', 'Tibet Region', 'Himalayan Territory', 'China’s Spiritual Land', 'Autonomous Tibet']"
15,Person,Donald Trump,"['President Trump', 'The 45th and 47th President', 'Mr. Trump', 'Trump', 'America’s Leader', 'The Republican President', 'The Former Reality TV Star', 'The MAGA Leader', 'U.S. President', 'The White House Chief']"
16,Person,JD Vance,"['Vice President Vance', 'VP Vance', 'Mr. Vance', 'Vance', 'The Vice President', 'Former Senator Vance', 'America’s Second-in-Command', 'The Republican VP', 'Ohio\'s Former Senator', 'Author of Hillbilly Elegy']"
